"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
戲,xì ,N,,
戲劇,xìjù ,N,,
系統,xìtŏng  ,N,,
下,xià ,Det / M,,
嚇,xià ,Vs-pred,,
下來,xiàlái ,Ptc,,
線,xiàn ,N,,
相對,xiāngduì ,Vs-attr,,
相反,xiāngfăn ,Vs,,
相關,xiāngguān ,Vs,,
香水,xiāngshuĭ,N,,
相同,xiāngtóng ,Vs,,
詳細,xiángxì ,Vs,,
響,xiăng ,Vp,,
想到,xiăngdào ,Vpt,,
想像,xiăngxiàng ,N / Vst,,
項,xiàng ,M,,
相聲,xiàngshēng,N,,
限,xiàn ,Vst,,
現實,xiànshí ,N / Vs,,
現象,xiànxiàng ,N,,
限制,xiànzhì ,N,,
小說,xiăoshuō ,N,,
小偷,xiăotōu ,N,,
小組,xiăozŭ ,N,,
效果,xiàoguŏ,N,,
笑話,xiàohuà,N,,
孝順,xiàoshùn ,Vs / Vst,,
校長,xiàozhăng ,N,,
嚇一跳,xiàyītiào ,Vp,,
協助,xiézhù ,V,,
血,xiě ,N,,
謝,xiè ,V,,
心得,xīndé ,N,,
心理,xīnlĭ ,N,,
心意,xīnyì ,N,,
欣賞,xīnshăng ,Vst,,
新生,xīnshēng ,N,,
信,xìn ,Vst,,
信心,xìnxīn ,N,,
興奮,xīngfèn ,Vs,,
行動,xíngdòng ,N,,
形容,xíngróng ,V,,
行為,xíngwéi ,N,,
醒,xĭng ,Vp,,
醒來,xĭnglái ,Vp,,
姓,xìng ,N,,
性別,xìngbié ,N,,
性格,xìnggé ,N,,
幸好,xìnghăo ,Adv,,
幸虧,xìngkuī ,Adv,,
幸運,xìngyùn ,Vs,,
兇/凶,xiōng ,Vs,,
熊貓,xióngmāo ,N,,
修,xiū ,V,,
修改,xiūgăi ,V,,
修理,xiūlĭ  ,V,,
需求,xūqiú  ,N,,
需要,xūyào ,N,,
選舉,xuănjŭ ,N,,
學費,xuéfèi ,N,,
學會,xuéhuì ,Vpt,,
學問,xuéwèn ,N,,
尋找,xúnzhăo ,V,,
訓練,xùnliàn ,V,,
押金,yājīn ,N,,
鴨(子),yā(zi) ,N,,
牙,yá ,N,,
牙齒,yáchĭ,N,,
演,yăn ,V,,
演出,yănchū ,V,,
羊,yáng ,N,,
陽光,yángguāng ,N,,
養,yăng ,V,,
樣樣,yàngyàng ,Det,,
煙火,yānhuŏ ,N,,
眼光,yănguāng ,N,,
演講,yănjiăng ,Vi,,
眼淚,yănlèi ,N,,
演員,yănyuán ,N,,
邀請,yāoqĭng ,V,,
咬,yăo ,V,,
要,yào ,Vst,,
要不然,yàobùrán ,Conj,,
要不是,yàobúshì ,Conj,,
要緊,yàojĭn ,Vs,,
也好,yěhăo ,,,
頁,yè ,M,,
夜裡/裏,yèlĭ/lĭ,N,,
一般來說,yībānláishuō ,,,
一點/一點兒,yīdiăn/yīdiănr,Adv,,
一方面,yīfāngmiàn ,Conj,,
衣櫃,yīguì ,N,,
依靠,yīkào ,V,,
一連,yīlián ,Adv,,
一生,yīshēng ,N,,
一時,yīshí ,N,,
一同,yītóng ,Adv,,
一向,yīxiàng ,Adv,,
一樣,yīyàng ,N,,
以,yĭ ,Prep,,
以及,yĭjí ,Conj,,
以來,yĭlái ,N,,
以免,yĭmiăn ,Conj,,
藝術,yìshù ,N,,
意外,yìwài ,N,,
意義,yìyì ,N,,
陰,yīn ,Vs,,
因此,yīncĭ,Conj,,
音響,yīnxiăng ,N,,
引起,yĭnqĭ,V,,
英俊,yīngjùn ,Vs,,
贏,yíng ,Vp,,
營養,yíngyăng ,N,,
影片,yĭngpiàn ,N,,
勇敢,yŏnggăn ,Vs,,
擁有,yŏngyŏu ,Vst,,
永遠,yŏngyuăn ,Adv,,
用,yòng,Prep,,
用法,yòngfă ,N,,
用品,yòngpĭn ,N,,
優點,yōudiăn ,N,,
幽默,yōumò ,Vs,,
優秀,yōuxiù ,Vs,,
遊客,yóukè ,N,,
由於,yóuyú ,Conj,,
有效,yŏuxiào ,Vs,,
友誼,yŏuyì ,N,,
愉快,yúkuài ,Vs,,
於是,yúshì ,Conj,,
噢,yŭ,Ptc,,
與,yŭ,Conj / Prep,,
玉,yù ,N,,
玉米,yùmĭ,N,,
預備,yùbèi ,V,,
遇到,yùdào ,Vpt,,
預習,yùxí ,V,,
圓,yuán ,N,,
員工,yuángōng ,N,,
原諒,yuánliàng ,Vst,,
願望,yuànwàng ,N,,
約,yuē ,Adv,,
月餅,yuèbĭng  ,N,,
閱讀,yuèdú ,V,,
樂團,yuètuán ,N,,
雲,yún ,N,,
運氣,yùnqì ,N,,
在,zài ,Vst,,
在意,zàiyì ,Vst,,
在於,zàiyú ,Vst,,
早,zăo ,Adv,,
早日,zăorì ,Adv,,
早晚,zăowăn ,N,,
造成,zàochéng ,Vpt,,
噪音,zàoyīn ,N,,
增加/增,zēngjiā/zēng,Vpt,,
責任,zérèn ,N,,
知,zhī ,Vst,,
之後,zhīhòu ,N,,
之間,zhījiān ,N,,
之前,zhīqián,N,,
直,zhí ,Vs,,
直到,zhídào ,Prep,,
值得,zhíde,Vst,,
殖民地,zhímíndì ,N,,
植物,zhíwù ,N,,
職業,zhíyè ,N,,
職員,zhíyuán ,N,,
指,zhĭ,V,,
只是,zhĭshì ,Conj,,
只有,zhĭyŏu ,Adv / Conj,,
制度,zhìdù ,N,,
智慧,zhìhuì ,N,,
至少,zhìshăo ,Adv,,
至於,zhìyú ,Prep,,
摘,zhāi ,V,,
站,zhàn,N,,
暫時,zhànshí ,Adv,,
戰爭,zhànzhēng ,N,,
掌握,zhăngwò ,V,,
障礙,zhàngài ,N,,
著(ㄓㄠ)急,zhāojí ,Vs,,
招待,zhāodài ,V,,
招牌,zhāopái ,N,,
找錢,zhăoqián ,V-sep,,
照,zhào ,V / Prep,,
炸,zhà,V,,
珍貴,zhēnguì ,Vs,,
真理,zhēnlĭ,N,,
真實,zhēnshí ,Vs,,
真是,zhēnshì ,Adv,,
真心,zhēnxīn ,Vs,,
真正,zhēnzhèng ,Adv / Vs-attr,,
整理,zhěnglĭ ,V,,
整齊,zhěngqí ,Vs,,
證明,zhèngmíng ,V,,
正確,zhèngquè ,Vs,,
證書,zhèngshū ,N,,
政治,zhèngzhì ,N,,
哲學,zhéxué ,N,,
這樣子,zhèyàngzi ,Vs / Adv,,
中部,zhōngbù ,N,,
中餐,zhōngcān ,N,,
終於,zhōngyú ,Adv,,
種,zhòng,V,,
重點,zhòngdiăn ,N,,
重視,zhòngshì ,Vst,,
周圍,zhōuwéi ,N,,
煮,zhŭ,V,,
主動,zhŭdòng ,Vs,,
主婦,zhŭfù ,N,,
主管,zhŭguăn ,N,,
主任,zhŭrèn ,N,,
主題,zhŭtí ,N,,
主要,zhŭyào ,Adv / Vs-attr,,
主意,zhŭyì ,N,,
助,zhù ,V,,
祝福,zhùfú ,N / V,,
助理,zhùlĭ ,N,,
著名,zhùmíng ,Vs,,
狀態,zhuàngtài ,N,,
專心,zhuānxīn ,Vs,,
專業,zhuānyè ,Vs-attr,,
追求,zhuīqiú ,V,,
準時,zhŭnshí ,Vs,,
著,zhuó ,V,,
資源,zīyuán ,N,,
仔細,zĭxì ,Vs,,
自從,zìcóng ,Prep,,
自動,zìdòng ,Vs,,
自殺,zìshā ,Vi,,
自信,zìxìn ,N,,
自在,zìzài ,Vs,,
宗教,zōngjiào ,N,,
總而言之,zŏngéryánzhī ,Conj,,
總算,zŏngsuàn ,Adv,,
總統,zŏngtŏng ,N,,
總之,zŏngzhī ,Conj,,
走走,zŏuzŏu,Vi,,
組,zŭ ,M,,
祖父,zŭfù ,N,,
祖母,zŭmŭ ,N,,
祖先,zŭxiān ,N,,
醉,zuì ,Vp,,
最初,zuìchū ,N,,
最多,zuìduō ,Adv,,
最後,zuìhòu ,N,,
最佳,zuìjiā ,Vs-attr,,
尊敬,zūnjìng ,Vst,,
作,zuò ,V,,
做夢/作夢,zuòmèng ,V-sep,,
作品,zuòpĭn ,N,,
做人,zuòrén ,Vi,,
做事,zuòshì ,Vi,,
作者,zuòzhě ,N,,
