"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
敬酒,jìngjiŭ ,V-sep,,
京劇,jīngjù ,N,,
敬禮,jìnglĭ,V-sep,,
精力,jīnglì ,N,,
經歷,jīnglì ,N / Vst,,
竟然,jìngrán ,Adv,,
驚人,jīngrén  ,Vs,,
景色,jĭngsè ,N,,
儘管,jĭnguăn ,Adv,,
精細,jīngxì ,Vs,,
經營,jīngyíng ,V,,
競爭,jìngzhēng ,Vi,,
今後,jīnhòu  ,N,,
緊急,jĭnjí ,Vs,,
進口,jìnkŏu  ,V,,
近來,jìnlái  ,Adv,,
盡力,jìnlì ,Vs,,
盡量,jìnliàng,Adv,,
儘量,jĭnliàng  ,Adv,,
金錢,jīnqián  ,N,,
金融,jīnróng ,N,,
進入,jìnrù  ,V,,
近視,jìnshì  ,Vs,,
金屬,jīnshŭ ,N,,
禁止,jìnzhĭ  ,V,,
機票,jīpiào  ,N,,
極其,jíqí  ,Adv,,
既然,jìrán  ,Conj,,
肌肉,jīròu  ,N,,
即使,jíshĭ ,Conj,,
技術,jìshù  ,N,,
計算,jìsuàn  ,V,,
酒會,jiŭhuì ,N,,
救火,jiùhuŏ ,Vi,,
究竟,jiùjìng ,Adv,,
就是,jiùshì ,Adv,,
就是說,jiùshìshuō ,Conj,,
就業,jiùyè ,Vi,,
糾正,jiūzhèng ,V,,
機械,jīxiè  ,N,,
記性,jìxìng ,N,,
記憶,jìyì ,Vi,,
集郵,jíyóu  ,Vi,,
記載,jìzài ,V,,
急診,jízhěn ,Vi,,
集中,jízhōng  ,V / Vs,,
記住,jìzhù ,Vpt,,
局,jú ,M,,
具,jù ,M / Vst,,
卷,juăn ,M,,
捲,juăn ,V,,
捐,juān ,V,,
捐款,juānkuăn ,N / V-sep,,
具備,jùbèi ,Vst,,
聚餐,jùcān ,V-sep,,
劇場,jùchăng ,N,,
巨大/巨,jùdà/jù,Vs,,
決/絕,jué,Adv,,
絕不,juébù ,Adv,,
絕大部分,juédàbùfèn ,Det,,
絕對,juéduì ,Vs-attr,,
覺悟,juéwù ,Vp,,
決心,juéxīn ,N / Vp,,
鞠躬,júgōng ,Vi,,
聚集,jùjí ,Vi,,
俱樂部,jùlèbù ,N,,
距離,jùlí ,Prep,,
舉例,jŭlì ,V-sep,,
劇烈,jùliè ,Vs,,
居民,jūmín ,N,,
軍,jūn ,N,,
軍事,jūnshì ,N,,
居然,jūrán ,Adv,,
據說,jùshuō ,Conj,,
具體,jùtĭ,Vs,,
劇院,jùyuàn ,N,,
卡,kă ,M / Vi,,
開,kāi ,Vp,,
開除,kāichú ,V,,
開刀,kāidāo ,V-sep,,
開動,kāidòng ,Vi,,
開發,kāifā ,V,,
開戶,kāihù ,V-sep,,
開課,kāikè ,V-sep,,
開明,kāimíng ,Vs,,
開設,kāishè ,V,,
開拓,kāituò ,V,,
開演,kāiyăn ,Vp,,
看,kàn ,Vst,,
砍,kăn ,V,,
看得起,kàndeqĭ,Vst,,
抗議,kàngyì ,V,,
看家,kānjiā ,Vi,,
看看(˙ㄎㄢ),kànkan,,,
看來,kànlái ,Adv,,
看樣子,kànyàngzi ,Adv,,
靠,kào,Prep,,
考察,kăochá ,V,,
靠近,kàojìn ,V,,
考卷,kăojuàn ,N,,
考慮,kăolǜ,V,,
考取,kăoqŭ ,Vpt,,
卡通,kătōng ,N,,
客房,kèfáng ,N,,
客觀,kèguān ,Vs,,
客戶,kèhù ,N,,
科目,kēmù ,N,,
可是,kěshì ,Adv,,
課外,kèwài ,Vs-attr,,
可喜,kěxĭ,Vs,,
可笑,kěxiào ,Vs,,
空,kōng ,Adv / N,,
空/空兒,kòng/kòngr,N,,
恐怖,kŏngbù,Vs,,
空前,kōngqián ,Vs-attr,,
控制,kòngzhì  ,V,,
空中,kōngzhōng ,N,,
扣,kòu ,V,,
口才,kŏucái,N,,
口號,kŏuhào,N,,
口紅,kŏuhóng,N,,
口氣,kŏuqì  ,N,,
口試,kŏushì  ,N / Vi,,
口水,kŏushuĭ ,N,,
口音,kŏuyīn  ,N,,
口語,kŏuyŭ  ,N,,
跨,kuà,V,,
誇,kuā ,V,,
會計,kuàijì ,N,,
快速,kuàisù,Vs,,
誇獎,kuājiăng ,V,,
寬度,kuāndù ,N,,
款式,kuănshì ,N,,
喇叭,lăbā,N,,
來,lái ,N,,
來回,láihuí  ,V,,
來臨,láilín  ,Vp,,
來往,láiwăng  ,Vi,,
來信,láixìn  ,N,,
來源,láiyuán  ,N,,
來自,láizì  ,Vpt,,
辣椒,làjiāo ,N,,
爛,làn ,Vs,,
懶,lăn ,Vs,,
懶得,lănde ,Vaux,,
狼,láng ,N,,
浪,làng ,N,,
浪費,làngfèi ,Vst,,
濫用,lànyòng ,V,,
牢,láo ,Vs,,
老,lăo ,Adv,,
撈,lāo ,V,,
老百姓,lăobăixìng ,N,,
老大,lăodà ,N,,
嘮叨,láodāo,Vi,,
勞動,láodòng ,V,,
勞工,láogōng ,N,,
老家,lăojiā ,N,,
勞力,láolì ,N,,
老年,lăonián ,N,,
牢騷,láosāo ,N,,
老實說,lăoshíshuō ,,,
蠟燭,làzhú  ,N,,
類似,lèisì ,Vs,,
類型,lèixíng ,N,,
冷靜,lěngjìng ,Vs,,
冷門,lěngmén ,Vs,,
冷飲,lěngyĭn ,N,,
樂意,lèyì ,Vs,,
理,lĭ,V / Vst,,
禮,lĭ,N,,
立,lì ,V,,
利,lì ,Vs,,
粒,lì ,M,,
梨(子),lí(zi),N,,
連,lián ,Adv,,
量,liáng ,V,,
亮,liàng ,V,,
倆,liăng ,N,,
諒解,liàngjiě ,Vst,,
糧食,liángshí ,N,,
聯合,liánhé ,V,,
聯合國,liánhéguó ,N,,
連接,liánjiē ,Vst,,
連忙,liánmáng ,Adv,,
連續,liánxù ,Vs-attr,,
了,liăo ,Vst,,
立場,lìchăng ,N,,
列,liè ,M,,
裂,liè ,Vp,,
立即,lìjí ,Adv,,
淋,lín ,V,,
臨,lín ,Vst,,
凌晨,língchén ,N,,
領帶,lĭngdài,N,,
領導,lĭngdăo ,N,,
靈活,línghuó ,Vs,,
零件,língjiàn ,N,,
零售,língshòu ,V,,
領土,lĭngtŭ ,N,,
零下,língxià ,Vs-attr,,
領先,lĭngxiān ,Vpt,,
領袖,lĭngxiù ,N,,
臨時,línshí ,N,,
禮品,lĭpĭn,N,,
力氣,lìqì,N,,
利潤,lìrùn ,N,,
裡頭/裏頭,lĭtou,N,,
溜,liū ,Vi,,
溜冰,liūbīng ,V-sep,,
流動,liúdòng ,Vi,,
流利,liúlì ,Vs,,
留念,liúniàn ,Vs,,
例外,lìwài ,Vs,,
利息,lìxí ,N,,
理由,lĭyóu,N,,
嘍,lóu ,Ptc,,
摟,lŏu ,V,,
露,lù ,V,,
路燈,lùdēng  ,N,,
綠豆,lǜdòu ,N,,
略,lüè ,Vs,,
陸軍,lùjūn  ,N,,
論,lùn ,V / Prep,,
輪(子),lún(zi) ,N,,
輪船,lúnchuán ,N,,
輪流,lúnliú ,Adv,,
論文,lùnwén ,N,,
落,luò ,Vi,,
落後,luòhòu  ,Vpt,,
落實,luòshí  ,V,,
落伍,luòwŭ  ,Vs,,
路線,lùxiàn  ,N,,
旅行社,lǚxíngshè ,N,,
陸續,lùxù  ,Adv,,
錄用,lùyòng  ,V,,
麻,má ,Vs,,
馬虎(ㄏㄨ),măhū,Vs,,
埋,mái ,V,,
買單,măidān ,V-sep,,
買賣,măimài ,V,,
賣座,màizuò ,Vs,,
滿,măn,Adv,,
忙碌,mánglù ,Vs,,
盲目,mángmù ,Vs,,
漫畫,mànhuà ,N,,
冒,mào ,V,,
矛盾,máodùn ,Vs,,
麻雀,máquè ,N,,
煤,méi ,N,,
美觀,měiguān ,Vs,,
梅花,méihuā ,N,,
魅力,mèilì ,N,,
美妙,měimiào ,Vs,,
美容院,měiróngyuàn ,N,,
美食,měishí,N,,
媒體,méitĭ,N,,
猛,měng ,Vs,,
夢到,mèngdào ,Vpt,,
夢想,mèngxiăng ,N / V,,
悶熱,mēnrè ,Vs,,
門診,ménzhěn ,Vi,,
迷,mí ,Vst,,
密,mì ,Vs,,
棉,mián ,N,,
棉被,miánbèi ,N,,
免得,miănde ,Vaux,,
面對,miànduì ,V,,
麵粉,miànfěn ,N,,
棉花,miánhuā,N,,
面臨,miànlín ,Vst,,
面貌,miànmào ,N,,
勉強,miănqiăng,Vs,,
面談,miàntán ,Vi,,
面子,miànzi ,N,,
妙,miào ,Vs,,
滅亡,mièwáng ,Vp,,
蜜蜂/蜂,mìfēng/fēng,N,,
迷糊,míhú,Vs,,
名,míng ,Vst,,
命,mìng ,V,,
明白,míngbái ,Vs,,
名稱,míngchēng ,N,,
名單,míngdān ,N,,
明亮,míngliàng ,Vs,,
命令,mìnglìng ,N / V,,
明明,míngmíng ,Adv,,
名牌,míngpái ,N,,
名片,míngpiàn ,N,,
明確,míngquè ,Vs,,
命運,mìngyùn ,N,,
民間,mínjiān ,N,,
民謠,mínyáo ,N,,
民眾,mínzhòng ,N,,
民主,mínzhŭ ,N / Vs,,
迷失,míshī ,Vp,,
秘書/祕書,mìshū ,N,,
迷信,míxìn ,N / Vs,,
抹,mŏ,V,,
磨,mó ,V,,
末,mò ,N,,
模仿,mófăng ,V,,
模糊,móhú ,Vs,,
模型,móxíng ,N,,
模樣,móyàng ,N,,
目標,mùbiāo ,N,,
目的地,mùdìdì ,N,,
目錄,mùlù ,N,,
奶粉,năifěn ,N,,
耐心,nàixīn ,Adv,,
耐用,nàiyòng ,Vs,,
難道,nándào ,Adv,,
難得,nándé ,Vs,,
難受,nánshòu ,Vs,,
男性,nánxìng,N,,
難以,nányĭ,Adv,,
鬧,nào ,V,,
腦袋,năodài,N,,
腦筋,năojīn ,N,,
鬧區,nàoqū ,N,,
哪怕,năpà ,Conj,,
內部,nèibù ,N,,
內地,nèidì,N,,
內行,nèiháng ,Vs,,
內科,nèikē ,N,,
能幹,nénggàn ,Vs,,
能源,néngyuán ,N,,
泥,ní ,N,,
膩,nì ,Vs,,
黏/粘,nián ,V / Vs,,
尿,niào ,N / Vi,,
捏,niē ,V,,
寧可,níngkě ,Vaux,,
寧願,níngyuàn ,Vaux,,
泥土,nítŭ ,N,,
鈕扣,niŭkòu ,N,,
濃,nóng ,Vs,,
農場,nóngchăng ,N,,
農產品,nóngchănpĭn  ,N,,
農村,nóngcūn  ,N,,
弄錯,nòngcuò ,Vp,,
濃厚,nónghòu  ,Vs,,
農民/農夫,nóngmín/nóngfū ,N,,
農藥,nóngyào  ,N,,
暖,nuăn,Vs / V,,
暖氣,nuănqì  ,N,,
女性,nǚxìng ,N,,
偶而/偶爾,ŏuér,Adv,,
偶然,ŏurán ,Vs,,
排,pái ,M / V,,
派,pài ,V,,
排斥,páichì  ,V,,
排列,páiliè ,V,,
排球,páiqiú  ,N,,
攀,pān ,V,,
判斷,pànduàn ,V,,
炮,pào ,N,,
砲,pào ,N,,
賠,péi ,V,,
賠償,péicháng ,V,,
佩服,pèifú ,Vst,,
陪同,péitóng  ,V,,
盆,pén ,M,,
噴,pēn ,V,,
捧,pěng ,V,,
碰見,pèngjiàn ,Vpt,,
膨脹,péngzhàng ,Vp,,
皮,pí ,Vs,,
匹,pī ,M,,
批,pī ,M / V,,
披,pī ,V,,
騙,piàn ,V,,
偏/偏偏,piān/piānpiān,Adv,,
片面,piànmiàn ,Vs-attr,,
偏食,piānshí ,Vs,,
偏向,piānxiàng ,Vst,,
片子,piànzi ,N,,
飄,piāo ,Vi,,
屁股,pìgǔ,N,,
疲倦,píjuàn ,Vs,,
疲勞,píláo ,Vs,,
品德,pĭndé ,N,,
憑,píng ,Prep,,
平常,píngcháng ,Vs,,
平衡,pínghéng ,Vst,,
平靜,píngjìng ,Vs,,
平均,píngjūn ,Vs,,
乒乓球/桌球,pīngpāngqiú /zhuōqiú,N,,
拼命,pīnmìng ,Vs,,
聘請,pìnqĭng ,V,,
貧窮/貧,pínqióng/pín,Vs,,
批判,pīpàn ,V,,
脾氣,píqì,N,,
頗,pŏ,Adv,,
破爛,pòlàn ,Vs,,
破裂,pòliè ,Vp,,
婆婆,pópo,N,,
迫切,pòqiè ,Vs,,
撲,pū ,V,,
鋪,pū ,V,,
瀑布,pùbù ,N,,
普及,pŭjí ,Vs,,
撲滅,pūmiè ,V,,
普通,pŭtōng ,Vs,,
普通話,pŭtōnghuà ,N,,
期,qí,N,,
起,qĭ,M / V,,
其,qí ,N,,
棋,qí ,N,,
齊,qí ,Vs,,
旗(子),qí(zi) ,N,,
妻/妻子,qī/qīzĭ,N,,
欠,qiàn ,V,,
牽,qiān ,V,,
遷,qiān ,V,,
簽,qiān ,V,,
簽訂,qiāndìng ,V,,
前方,qiánfāng ,N,,
強,qiáng ,Vs,,
槍,qiāng ,N,,
牆/牆壁,qiáng/qiángbì ,N,,
強大,qiángdà ,Vs,,
強度,qiángdù ,N,,
搶救,qiăngjiù ,V,,
強烈,qiángliè ,Vs,,
強迫,qiăngpò ,V,,
強人,qiángrén ,N,,
前進,qiánjìn ,V,,
前頭,qiántou ,N,,
前途,qiántú ,N,,
千萬,qiānwàn ,Adv,,
前往,qiánwăng ,V,,
歉意,qiànyì ,N,,
前院,qiányuàn ,N,,
簽約,qiānyuē ,V-sep,,
簽字,qiānzì ,V-sep,,
巧,qiăo,Vs,,
瞧,qiáo ,V,,
敲,qiāo ,V,,
巧妙,qiăomiào ,Vs,,
悄悄/悄,qiăoqiăo/qiăo,Adv,,
器材,qìcái ,N,,
起初,qĭchū ,Adv,,
期待,qídài,Vst,,
切,qiē ,V,,
氣憤,qìfèn ,Vs,,
氣氛,qìfēn ,N,,
器官,qìguān ,N,,
氣候,qìhòu ,N,,
起火,qĭhuŏ,Vp,,
親愛,qīnài ,Vs-attr,,
青,qīng ,Vs,,
清,qīng ,V,,
清晨,qīngchén ,N,,
清除,qīngchú ,V,,
清淡,qīngdàn ,Vs,,
輕傷,qīngshāng  ,N,,
輕視,qīngshì ,Vst,,
情書,qíngshū  ,N,,
清晰,qīngxī  ,Vs,,
傾向,qīngxiàng ,Vst,,
清醒,qīngxĭng  ,Vs,,
情緒,qíngxù ,N,,
侵害,qīnhài ,V,,
親口,qīnkŏu ,Adv,,
勤勞,qínláo ,Vs,,
親戚,qīnqī  ,N,,
親人,qīnrén ,N,,
侵入,qīnrù ,V,,
寢室,qĭnshì ,N,,
旗袍,qípáo ,N,,
欺騙,qīpiàn ,V,,
齊全,qíquán ,Vs,,
歧視,qíshì ,Vst,,
企圖,qìtú ,N / Vaux,,
球隊,qiúduì ,N,,
求婚,qiúhūn ,V-sep,,
秋季,qiūjì ,N,,
球鞋,qiúxié ,N,,
期望,qíwàng ,Vst,,
氣味,qìwèi ,N,,
氣息,qìxí ,N,,
期限,qíxiàn ,N,,
氣象,qìxiàng ,N,,
汽油,qìyóu ,N,,
其餘,qíyú ,Det,,
取,qŭ ,V,,
娶,qŭ ,V,,
勸,quàn ,V,,
圈,quān ,M,,
全家,quánjiā ,N,,
權利,quánlì ,N,,
全面,quánmiàn ,Adv / Vs-attr,,
全體,quántĭ,N,,
拳頭,quántou,N,,
區別,qūbié ,N / V,,
取得,qŭdé ,Vpt,,
缺,quē ,Vst,,
缺乏,quēfá ,Vst,,
缺少,quēshăo ,Vst,,
確實,quèshí ,Vs,,
缺席,quēxí ,Vs,,
群/羣(ㄑㄩㄣˊ),qún ,M,,
群眾,qúnzhòng ,N,,
取笑,qŭxiào ,V,,
取消,qŭxiāo ,V,,
區域,qūyù ,N,,
曲折,qūzhé ,Vs,,
染,răn ,V,,
然而,ránér ,Conj,,
讓步,ràngbù ,Vi,,
燃料,ránliào ,N,,
燃燒,ránshāo ,V,,
繞,rào ,V,,
惹,rě ,V / Vst,,
熱愛,rèài ,Vst,,
熱量,rèliàng ,N,,
熱烈,rèliè ,Vs,,
熱門,rèmén ,Vs,,
任,rèn ,Vst,,
忍不住,rěnbùzhù ,Vs,,
人才,réncái ,N,,
人格,réngé ,N,,
人工,réngōng ,N,,
人力,rénlì ,N,,
人情味/人情味兒,rénqíngwèi/rénqíngwèir,N,,
人權,rénquán ,N,,
人生,rénshēng ,N,,
人事,rénshì ,N,,
忍受,rěnshòu ,Vst,,
人體,réntĭ,N,,
人心,rénxīn ,N,,
忍心,rěnxīn ,Vs,,
任性,rènxìng ,Vs,,
人行道,rénxíngdào ,N,,
人員,rényuán ,N,,
熱情,rèqíng ,N / Vs,,
熱心,rèxīn ,Vs,,
日常,rìcháng ,Vs-attr,,
日後,rìhòu ,N,,
日用品,rìyòngpĭn ,N,,
容,róng ,Vst / V,,
融化,rónghuà ,Vp,,
榮幸,róngxìng ,Vs,,
如,rú ,Vst,,
入,rù ,V,,
軟,ruăn ,Vs,,
如果說,rúguŏshuō,Conj,,
如何,rúhé ,Adv / Vs,,
如今,rújīn ,N,,
入境,rùjìng,V,,
如同,rútóng ,Vst,,
入學,rùxué ,Vp,,
塞,sāi,V,,
塞車,sāichē ,Vs,,
賽跑,sàipăo ,Vi,,
散,sàn,V / Vp,,
喪失,sàngshī ,Vpt,,
三角形,sānjiăoxíng ,N,,
掃,săo ,V,,
艘,sāo ,M,,
色彩,sècăi ,N,,
色情,sèqíng ,N,,
傻,shă ,Vs,,
沙,shā ,N,,
殺價,shājià ,V-sep,,
沙漠,shāmò  ,N,,
閃,shăn ,Vi / Vp,,
山地,shāndì ,N,,
上,shàng ,V,,
傷,shāng ,N / Vs,,
商標,shāngbiāo ,N,,
商場,shāngchăng ,N,,
上級,shàngjí ,N,,
商量,shāngliáng,V,,
傷腦筋,shāngnăojīn ,Vs,,
上升,shàngshēng ,Vi,,
上市,shàngshì ,Vp,,
上述,shàngshù ,N,,
上台/上臺,shàngtái ,V-sep,,
上頭,shàngtou ,N,,
上下,shàngxià ,N,,
上游,shàngyóu ,N,,
善於,shànyú ,Vst,,
扇子,shànzi ,N,,
稍,shāo ,Adv,,
少年,shàonián ,N,,
少女,shàonǚ ,N,,
少數,shăoshù ,Det,,
稍微,shāowéi ,Adv,,
沙灘,shātān  ,N,,
沙子,shāzi  ,N,,
射,shè ,V,,
捨不得,shěbùde,Vst,,
捨得,shěde,Vst,,
社交,shèjiāo ,N,,
設立,shèlì ,V,,
神,shén ,N,,
伸,shēn ,V,,
身材,shēncái ,N,,
審查,shěnchá ,V,,
身分,shēnfèn ,N,,
身分證,shēnfènzhèng ,N,,
勝,shèng ,Vp,,
省,shěng ,Vs,,
升,shēng ,Vp,,
生,shēng ,Vs-attr,,
繩(子),shéng(zi),N,,
生詞,shēngcí,N,,
生存,shēngcún ,Vs,,
省得,shěngde ,Vaux,,
升高,shēnggāo ,Vp,,
升級,shēngjí ,Vp,,
勝利,shènglì ,Vp,,
生肖,shēngxiào ,N,,
升學,shēngxué ,Vi,,
生長,shēngzhăng ,Vs,,
神話,shénhuà ,N,,
神經,shénjīng ,N,,
深刻,shēnkè ,Vs,,
神秘/神祕,shénmì ,Vs,,
神奇,shénqí ,Vs,,
神氣,shénqì ,Vs,,
深淺,shēnqiăn ,N,,
申請,shēnqĭng ,V,,
神聖,shénshèng ,Vs,,
伸手,shēnshŏu,Vi,,
神仙,shénxiān ,N,,
深夜,shēnyè ,N,,
慎重,shènzhòng ,Vs,,
社區,shèqū,N,,
舌頭/舌,shétou/shé,N,,
社團,shètuán ,N,,
攝影,shèyĭng ,Vi,,
設置,shèzhì ,V,,
使,shĭ,V,,
世,shì ,N,,
視,shì ,Prep,,
詩,shī ,N,,
失敗,shībài ,Vs,,
時常,shícháng ,Adv,,
適當,shìdàng ,Vs,,
失掉,shīdiào ,Vpt,,
是非,shìfēi ,N,,
是否,shìfŏu ,Adv,,
師父,shīfù,N,,
師傅,shīfù ,N,,
施工,shīgōng ,Vi,,
時機,shíjī ,N,,
世紀,shìjì ,N,,
事件,shìjiàn ,N,,
市立,shìlì ,Vs-attr,,
勢力,shìlì ,N,,
失眠,shīmián ,Vp,,
市民,shìmín ,N,,
師母,shīmŭ ,N,,
食品,shípĭn ,N,,
時期,shíqí ,N,,
詩人,shīrén ,N,,
時時,shíshí ,Adv,,
實施,shíshī ,V,,
事實上,shìshíshàng ,Adv,,
失望,shīwàng ,Vs,,
示威,shìwēi ,Vi,,
事物,shìwù ,N,,
實現,shíxiàn ,V,,
事先,shìxiān ,Adv,,
實驗,shíyàn ,N / Vi,,
試驗,shìyàn ,V,,
式樣,shìyàng ,N,,
視野,shìyě ,N,,
失業,shīyè ,Vp,,
實用,shíyòng ,Vs,,
適用,shìyòng ,Vst,,
實在,shízài ,Adv,,
始終,shĭzhōng ,Adv,,
受,shòu ,Prep / Vst,,
售,shòu ,V,,
首,shŏu ,Det,,
受不了,shòubùliăo  ,Vst,,
受到,shòudào  ,Vpt,,
手電筒,shŏudiàntŏng  ,N,,
首都,shŏudū  ,N,,
手段,shŏuduàn  ,N,,
收費,shōufèi ,V-sep,,
手工,shŏugōng  ,N,,
收集,shōují ,V,,
收據,shōujù ,N,,
收看,shōukàn ,V,,
壽命,shòumìng  ,N,,
收入,shōurù ,N,,
收拾,shōushí ,V,,
手術,shŏushù  ,N,,
首先,shŏuxiān  ,Adv,,
束,shù ,M,,
數,shù ,N,,
屬,shŭ ,Vst,,
鼠/老鼠,shŭ /lăoshŭ ,N,,
耍,shuă ,V,,
甩,shuăi ,V,,
摔,shuāi ,V,,
率領,shuàilĭng ,V,,
衰退,shuāituì ,Vp,,
雙胞胎,shuāngbāotāi ,N,,
雙方,shuāngfāng ,N,,
輸出,shūchū,V,,
疏忽,shūhū ,Vp,,
稅,shuì ,N,,
水分/水份,shuĭfèn ,N,,
說服,shuìfú ,V,,
睡眠,shuìmián ,N,,
水災,shuĭzāi ,N,,
書籍,shūjí ,N,,
熟練,shúliàn ,Vs,,
數量,shùliàng ,N,,
樹林,shùlín ,N,,
數目,shùmù ,N,,
順,shùn ,Prep / Vs,,
順手,shùnshŏu ,Vs,,
順序,shùnxù ,N,,
說不定,shuōbùdìng ,Adv,,
碩士,shuòshì ,N,,
暑期,shŭqí ,N,,
熟人,shúrén ,N,,
輸入,shūrù ,V,,
屬於,shŭyú ,Vst,,
死,sĭ,Adv,,
絲,sī ,N,,
撕,sī ,V,,
四處,sìchù ,Adv / N,,
四方,sìfāng ,N,,
四季,sìjì ,N,,
私立,sīlì ,Vs-attr,,
私人,sīrén ,N,,
思索,sīsuŏ ,V,,
死亡,sĭwáng ,Vp,,
飼養,sìyăng ,V,,
四周,sìzhōu ,N,,
鬆,sōng ,Vs,,
送行,sòngxíng ,Vi,,
俗,sú ,Vs,,
算起來,suànqĭlái,Adv,,
算是,suànshì  ,Vst,,
算帳,suànzhàng  ,V-sep,,
俗話,súhuà  ,N,,
俗話說,súhuàshuō ,,,
隨,suí ,Vst,,
碎,suì ,Vp,,
隨手,suíshŏu,Adv,,
歲數,suìshù,N,,
隨意,suíyì  ,Vs,,
隨著,suízhe ,Prep,,
塑膠,sùjiāo ,N,,
損失,sŭnshī ,N / Vpt,,
縮,suō ,V,,
縮短,suōduăn ,V,,
縮水,suōshuĭ,Vp,,
素食,sùshí ,N,,
牠,tā,N,,
踏,tà ,V,,
塌,tā ,Vp,,
太極拳,tàijíquán ,N,,
太空,tàikōng ,N,,
抬頭,táitóu ,V-sep,,
彈,tán ,V,,
探,tàn ,V,,
趟,tàng ,M,,
燙,tàng ,V / Vs,,
湯圓,tāngyuán ,N,,
談判,tánpàn ,Vi,,
探親,tànqīn ,V-sep,,
探討,tàntăo ,V,,
攤位,tānwèi ,N,,
毯子,tănzi ,N,,
攤子,tānzi ,N,,
套,tào,V,,
逃,táo ,Vi,,
討,tăo ,V,,
掏,tāo ,V,,
逃避,táobì ,V,,
陶瓷,táocí ,N,,
淘氣,táoqì ,Vs,,
桃(子),táo(zi) ,N,,
逃走,táozŏu ,Vp,,
特別,tèbié ,Adv,,
特點,tèdiăn ,N,,
提,tí ,V,,
天才,tiāncái ,N,,
天空,tiānkōng ,N,,
天然,tiānrán ,Vs,,
天文,tiānwén ,N,,
田野,tiányě ,N,,
天真,tiānzhēn ,Vs,,
天主教,tiānzhŭjiào,N,,
調,tiáo ,V,,
挑,tiāo ,V,,
跳高,tiàogāo ,Vi,,
挑選,tiāoxuăn ,V,,
跳遠,tiàoyuăn ,Vi,,
條約,tiáoyuē ,N,,
調整,tiáozhěng ,V,,
貼心,tiēxīn ,Vs,,
挺,tĭng ,V / Vs,,
停止,tíngzhĭ ,Vpt,,
提起,tíqĭ,V,,
提前,tíqián ,Vp,,
體溫,tĭwēn ,N,,
提醒,tíxĭng ,V,,
體驗,tĭyàn ,V,,
提早,tízăo ,Vp,,
通,tōng,M / Vst,,
同,tóng ,Adv / Vs,,
銅,tóng ,N,,
桶,tŏng ,M,,
同胞,tóngbāo  ,N,,
通常,tōngcháng  ,Adv,,
通過,tōngguò ,V,,
統計,tŏngjì  ,V,,
痛快,tòngkuài,Vs,,
通信,tōngxìn  ,V-sep,,
通訊,tōngxùn  ,N,,
統一,tŏngyī  ,Vs,,
同志,tóngzhì  ,N,,
統治,tŏngzhì  ,V,,
頭,tóu,M,,
透,tòu ,Vs,,
偷/偷偷,tōu/tōutōu,Adv,,
透過,tòuguò ,Prep,,
頭腦,tóunăo ,N,,
投票,tóupiào ,V-sep,,
投入,tóurù  ,V,,
投降,tóuxiáng  ,Vi,,
投資,tóuzī  ,N,,
吐,tŭ ,V,,
禿,tū ,Vs,,
團,tuán ,M,,
團結,tuánjié ,Vs,,
突出,túchū ,Vs,,
圖畫,túhuà ,N,,
退,tuì ,Vpt,,
退出,tuìchū ,Vpt,,
推動,tuīdòng ,V,,
推翻,tuīfān ,V,,
推廣,tuīguăng ,V,,
退回,tuìhuí ,Vpt,,
途徑,tújìng ,N,,
吞,tūn ,V,,
拖,tuō ,V,,
妥當,tuŏdàng,Vs,,
托兒所,tuōérsuŏ ,N,,
脫離,tuōlí ,V,,
妥善,tuŏshàn ,Vs,,
妥協,tuŏxié ,Vi,,
突破,túpò  ,N / V,,
圖書,túshū  ,N,,
圖章,túzhāng  ,N,,
挖,wā ,V,,
歪,wāi ,Vs,,
外表,wàibiăo,N,,
外部,wàibù ,N,,
外出,wàichū ,Vi,,
外地,wàidì ,N,,
外觀,wàiguān ,N,,
外行,wàiháng ,Vs,,
外匯,wàihuì ,N,,
外交,wàijiāo ,N,,
外界,wàijiè ,N,,
外科,wàikē ,N,,
彎,wān ,Vs,,
晚輩,wănbèi ,N,,
完畢,wánbì ,Vp,,
望,wàng ,V,,
往,wăng ,V,,
完美,wánměi,Vs,,
完善,wánshàn ,Vs,,
玩笑,wánxiào ,N,,
彎腰,wānyāo ,V-sep,,
完整,wánzhěng ,Vs,,
瓦斯,wăsī ,N,,
圍,wéi ,V,,
未,wèi ,Adv,,
尾巴/尾,wěibā/wěi,N,,
違反,wéifăn ,Vst,,
為何,wèihé ,Adv,,
維護,wéihù ,V,,
未婚,wèihūn ,Vs,,
危機,wéijī ,N,,
味精,wèijīng ,N,,
為難,wéinán ,Vs,,
委屈,wěiqū ,Vs,,
衛生,wèishēng ,Vs,,
維生素,wéishēngsù ,N,,
維他命,wéitāmìng ,N,,
委託,wěituō ,V,,
慰問,wèiwèn ,V,,
威脅,wēixié ,N / V,,
衛星,wèixīng ,N,,
唯一,wéiyī ,Vs-attr,,
位於,wèiyú ,Vst,,
委員,wěiyuán ,N,,
吻,wěn ,N / V,,
穩,wěn ,Vs,,
溫,wēn ,Vs,,
溫和,wēnhé ,Vs,,
文具,wénjù ,N,,
文憑,wénpíng ,N,,
文物,wénwù ,N,,
文藝,wényì ,N,,
握,wò ,V,,
勿,wù ,Adv,,
誤,wù ,Adv / Vst,,
霧,wù ,N,,
